latitude (degrees_north),longitude (degrees_east),order_occupied,dateTime
34.256668,-119.325,56,2015-01-26 21:17:00+00:00
34.405,-119.79833,57,2015-01-27 00:17:00+00:00
34.27667,-120.025,58,2015-01-27 02:12:00+00:00
34.45,-120.52333,59,2015-01-27 07:25:00+00:00
34.318333,-120.80334,60,2015-01-27 10:17:00+00:00
34.15167,-121.14833,61,2015-01-27 14:34:00+00:00
34.711666,-121.55,70,2015-01-30 01:22:00+00:00
34.31333,-120.793335,56,2015-04-16 09:37:00+00:00
34.148335,-121.14667,57,2015-04-16 14:05:00+00:00
33.808334,-121.84333,58,2015-04-16 20:46:00+00:00
33.48,-122.53167,59,2015-04-17 03:05:00+00:00
33.14,-123.22,60,2015-04-17 09:19:00+00:00
32.82,-123.91,61,2015-04-17 15:40:00+00:00
34.465,-120.485,70,2015-04-19 17:14:00+00:00
33.15,-123.221664,56,2015-07-21 13:18:00+00:00
33.483334,-122.53333,57,2015-07-21 18:45:00+00:00
33.816666,-121.84333,58,2015-07-22 00:10:00+00:00
34.15167,-121.15,59,2015-07-22 06:05:00+00:00
34.316666,-120.80167,60,2015-07-22 10:17:00+00:00
33.878334,-120.13333,61,2015-07-22 16:53:00+00:00
32.321667,-121.715,70,2015-07-24 13:44:00+00:00
32.911667,-122.128334,56,2015-11-09 18:02:00+00:00
32.578335,-122.815,57,2015-11-09 23:57:00+00:00
32.245,-123.49167,58,2015-11-10 05:36:00+00:00
31.911667,-124.17,59,2015-11-10 11:25:00+00:00
31.323334,-123.74333,60,2015-11-10 17:10:00+00:00
31.656666,-123.07,61,2015-11-10 23:17:00+00:00
32.34667,-118.55334,70,2015-11-13 02:17:00+00:00
